Referee_ID,Name,Nationality
SWE_11,KARLSSON Bo,SWE
SWE_12,NILSSON Mikael,SWE
SWE_13,LINDBERG Leif,SWE
SWE_14,FRISK Anders,SWE
SWE_15,ERIKSSON Jonas,SWE
SWE_16,KLASENIUS Mathias,SWE
SWE_17,WARNMARK Daniel,SWE
SWE_2,DAHLNER Gunnar,SWE
SWE_3,LUNDELL Bengt,SWE
SWE_4,AHLNER Sten,SWE
SWE_5,ACKEBORN Gosta,SWE
SWE_6,ANDREN Bengt,SWE
SWE_7,LOEOEW Bertil,SWE
SWE_8,ERIKSSON Ulf,SWE
SWE_9,FREDRIKSSON Erik,SWE
SYR_1,BOUZO Farouk,SYR
SYR_2,AL SHARIF Jamal,SYR
TCH_1,ZENISEK Bohumil,TCH
TCH_2,KRIST Gustav,TCH
TCH_3,MACKO Martin,TCH
TCH_4,GALBA Karol,TCH
TCH_5,CHRISTOV Vojtech,TCH
TGA_1,MAKASINI Tevita,TGA
THA_1,ANPRASERT Pirom,THA
THA_2,PERMPANICH Prachya,THA
TRI_1,JAMES Douglas Micael,TRI
TRI_2,RAMDHAN Ramesh,TRI
TRI_3,GONZALES Merere,TRI
TRI_4,RAGOONATH Michael,TRI
TUN_1,SEOUDI Hedi,TUN
TUN_2,BENNACEUR Ali,TUN
TUN_3,JOUINI Neji,TUN
TUN_4,MANSRI Mohamed,TUN
TUN_5,DAAMI Mourad,TUN
TUN_6,ADJENGUI Taoufik,TUN
TUN_7,HASSANI Bechir,TUN
TUR_1,BABACAN Dogan,TUR
TUR_2,C014TERO Marcos n,TUR
TUR_3,ONGUN Tarik,TUR
TUR_4,DURAN Bahattin,TUR
TUR_5,Cuneyt CAKIR,TUR
UAE_1,BUJSAIM Ali,UAE
UAE_2,GHULOUM Eisa,UAE
UAE_3,AL MARZOUQI Saleh,UAE
UGA_1,TOMUSANGE Ali,UGA
URS_1,LATYCHEV Nikolaj,URS
URS_2,BAKHRAMOV Tofik,URS
URS_3,KAZAKOV Pavel,URS
URS_4,IVANOV Anatoly,URS
URS_5,STUPAR Miroslav,URS
URU_1,TEJADA Anibal,URU
URU_10,CARDELLINO DE SAN VICENTE Juan,URU
URU_11,MARTINEZ BAZAN Jose Luis,URU
URU_12,FILIPPI Ernesto,URU
URU_13,RIAL Walter,URU
URU_14,LARRIONDA Jorge,URU
URU_15,FANDINO Pablo,URU
URU_16,ESPINOSA Mauricio,URU
URU_2,VALLARINO Ricardo,URU
URU_3,ALONSO Gualberto,URU
URU_4,MATEUCCI Francisco,URU
URU_5,APHESTEGUY Martin,URU
URU_6,LOMBARDI Domingo,URU
URU_7,MARINO Esteban,URU
URU_8,CODESAL Jose Maria,URU
URU_9,BARRETO RUIZ Ramon,URU
USA_1,GARCIA Prudencio,USA
USA_10,GEIGER Mark,USA
USA_2,GOLDSTEIN Leo,USA
USA_3,LANDAUER Henry,USA
USA_4,SOCHA David,USA
USA_5,MAURO Vincent,USA
USA_6,ANGELES Arturo,USA
USA_7,BAHARMAST Esse,USA
USA_8,HALL Brian,USA
USA_9,HURD Sean,USA
UZB_1,Ravshan IRMATOV,UZB
UZB_2,ILYASOV Rafael,UZB
UZB_3,RASULOV Abduxamidullo,UZB
VAN_1,FRED Lencie,VAN
VAN_2,DORIRI Elise,VAN
VEN_1,LLOBREGAT Vicente,VEN
WAL_1,GRIFFITHS Benjamin,WAL
WAL_2,CALLAGHAN Leo,WAL
WAL_3,THOMAS Clive,WAL
WAL_4,CLIVE Thomas,WAL
