eventid,iyear,imonth,iday,extended,country,region,latitude,longitude,specificity,vicinity,crit1,crit2,crit3,multiple,success,suicide,attacktype1,attacktype2,targtype1,targsubtype1,natlty1,targtype2,targsubtype2,natlty2,gname,individual,nperps,nperpcap,claimed,claimmode,weaptype1,weapsubtype1,weaptype2,weapsubtype2,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propvalue,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,hostkidoutcome,nreleased,INT_LOG,INT_IDEO,INT_MISC,INT_ANY
2.00408E+11,2004,8,24,0,167,9,47.236383,39.579933,3,1,1,1,1,1,1,1,4,,6,42,167,,,,Islambouli Brigades of al-Qaida,0,2,0,1,10,6,13,,,46,0,1,0,0,0,1,2,,1,46,0,,,,,0,,,,,4,0,1,1,0,1
2.00408E+11,2004,8,24,0,167,9,54.080865,36.422333,3,1,1,1,1,1,1,1,3,,6,42,167,,,,Islambouli Brigades of al-Qaida,0,2,0,1,10,6,13,,,44,0,1,0,0,0,1,2,,1,44,0,,,,,0,,,,,4,0,1,1,0,1
2.00408E+11,2004,8,31,0,167,9,55.751377,37.579914,1,0,1,1,1,0,1,1,3,,19,102,167,14,67,167,Islambouli Brigades of al-Qaida,0,1,0,1,7,6,13,,,11,0,1,50,0,0,1,2,,0,,,,,,,,,,,,,,1,1,0,1
2.00409E+11,2004,9,27,0,186,6,9.729722,80.023056,1,0,1,1,1,0,1,0,2,,22,109,186,,,,Liberation Tigers of Tamil Eelam (LTTE),0,2,0,0,,5,5,,,1,0,0,0,0,0,-9,,,0,,,,,,,,,,,,,,0,0,0,0
2.0041E+11,2004,10,1,0,4,6,34.021194,68.999535,1,0,1,1,1,0,0,0,3,,2,15,4,,,,Taliban,0,2,0,0,,6,16,,,2,0,2,0,0,0,1,4,,0,,,,,,,,,,,,,,0,0,0,0
2.0041E+11,2004,10,5,0,4,6,33.358508,69.859741,4,0,1,1,1,0,0,0,2,,7,47,95,,,,Taliban,0,,0,0,,5,2,,,0,0,0,3,0,0,0,,,0,,,,,,,,,,,,,,0,1,1,1
2.0041E+11,2004,10,6,0,4,6,37.10783,70.567558,1,1,1,1,1,0,0,0,3,,14,84,4,,,,Taliban,0,,0,1,10,6,12,,,1,0,0,5,0,0,0,,,0,,,,,,,,,,,,,,0,0,0,0
2.0041E+11,2004,10,18,0,4,6,32.264539,68.524715,4,0,1,1,1,0,1,0,3,,14,71,4,,,,Taliban,0,,,1,2,6,16,,,5,0,0,0,0,0,1,3,,0,,,,,,,,,,,,,,0,0,0,0
2.0041E+11,2004,10,23,0,4,6,34.516895,69.147011,1,0,1,1,1,0,1,1,3,,14,71,4,14,71,217,Taliban,0,1,0,1,2,6,13,,,3,1,1,9,0,0,1,3,,0,,,,,,,,,,,,,,0,1,1,1
2.0041E+11,2004,10,24,0,95,10,33.744999,45.545616,1,1,1,1,1,0,1,0,2,,3,25,95,,,,Al-Qaida in Iraq,0,,,1,7,5,2,,,50,0,0,0,0,0,1,3,,0,,,,,,,,,,,,,,0,0,0,0
